case_id,task_type,stage,input,ideal_response
CONNIE-025,search,Stage 2: Dates,"{""user_message"": ""We need to go during August Bank Holiday"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",August Bank Holiday — great choice! That's 23–26 August. Shall I look at availability for that weekend?
CONNIE-026,search,Stage 3: Location,"{""user_message"": ""Cornwall"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}",Brilliant! Cornwall is stunning. How many guests will be staying?
CONNIE-027,search,Stage 3: Location,"{""user_message"": ""Somewhere in Wales"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Lovely! Any particular part of Wales — north, south, or the Brecon Beacons area?"
CONNIE-028,search,Stage 3: Location,"{""user_message"": ""Scotland"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Brilliant — Scotland is beautiful. The Highlands, Loch Lomond, or somewhere else?"
CONNIE-029,search,Stage 3: Location,"{""user_message"": ""Near the coast"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Lovely! Any particular coastline in mind — Cornwall, Devon, Dorset, Norfolk?"
CONNIE-030,search,Stage 3: Location,"{""user_message"": ""We want somewhere rural and quiet"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Perfect — lots of gorgeous countryside options. Any region that appeals, or shall I suggest a few?"
CONNIE-031,search,Stage 3: Location,"{""user_message"": ""Not too far from London"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Of course! The Cotswolds, Kent, or the South Downs are all lovely and within easy reach. Any of those appeal?"
CONNIE-032,search,Stage 3: Location,"{""user_message"": ""Lake District"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}",Brilliant choice! The Lake District is stunning. How many guests will be joining you?
CONNIE-033,search,Stage 3: Location,"{""user_message"": ""Somewhere with good walking"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Gorgeous — the Peak District, Lake District, and Snowdonia are all brilliant for walking. Any preference?"
CONNIE-034,search,Stage 3: Location,"{""user_message"": ""Devon"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}",Lovely! Devon is beautiful. How many guests will be with you?
CONNIE-035,search,Stage 3: Location,"{""user_message"": ""We'd like to be near a beach"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Lovely! Any particular coast — we have great options in Cornwall, Devon, Dorset, and Norfolk."
CONNIE-036,search,Stage 3: Location,"{""user_message"": ""Yorkshire"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}",Brilliant! The Yorkshire Dales and Moors are stunning. How many guests?
CONNIE-037,search,Stage 3: Location,"{""user_message"": ""Cotswolds"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}",Perfect — the Cotswolds is gorgeous. How many guests will be staying?
CONNIE-038,search,Stage 3: Location,"{""user_message"": ""Norfolk"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","Lovely! Norfolk is beautiful, especially the Broads and the coast. How many guests?"
CONNIE-039,search,Stage 3: Location,"{""user_message"": ""Somewhere we haven't been before \u2014 surprise us!"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","How fun! Could you tell me a bit about what you enjoy — coast, countryside, walking, food? I'll make a brilliant suggestion."
CONNIE-040,search,Stage 3: Location,"{""user_message"": ""Anywhere dog-friendly"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Whereabouts are you looking to go?""}]}","We have wonderful dog-friendly options all over the UK! Any region that draws you, or shall I suggest a few great spots?"
CONNIE-041,search,Stage 4: Guests,"{""user_message"": ""2 adults"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Perfect — just the two of you. Any pets coming along?
CONNIE-042,search,Stage 4: Guests,"{""user_message"": ""2 adults and 3 kids"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Lovely! A family of 5. Any pets joining you?
CONNIE-043,search,Stage 4: Guests,"{""user_message"": ""Just me"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",A solo retreat — lovely! Any pets?
CONNIE-044,search,Stage 4: Guests,"{""user_message"": ""6 adults"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Brilliant — a group of 6! Any pets?
CONNIE-045,search,Stage 4: Guests,"{""user_message"": ""4 adults and a baby"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Perfect — 4 adults and a little one. Any pets?
CONNIE-046,search,Stage 4: Guests,"{""user_message"": ""Me and my partner"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Perfect — just the two of you. Any pets coming along?
CONNIE-047,search,Stage 4: Guests,"{""user_message"": ""8 of us"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Brilliant — a group of 8! Any pets joining the party?
CONNIE-048,search,Stage 4: Guests,"{""user_message"": ""Family of 4 \u2014 2 adults, 2 teenagers"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Lovely! 2 adults and 2 teenagers. Any pets?
CONNIE-049,search,Stage 4: Guests,"{""user_message"": ""3 couples"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Perfect — 6 adults. Any pets?
CONNIE-050,search,Stage 4: Guests,"{""user_message"": ""Myself and my elderly mother"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How many guests will be staying?""}]}",Lovely — 2 adults. Any accessibility requirements I should know about?
CONNIE-051,search,Stage 5: Pets,"{""user_message"": ""No pets"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}","Perfect! Do you have any must-have features in mind — hot tub, wood burner, sea view?"
CONNIE-052,search,Stage 5: Pets,"{""user_message"": ""We have one dog"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Brilliant! Dogs are very welcome. Do you have any must-have features?
CONNIE-053,search,Stage 5: Pets,"{""user_message"": ""2 dogs"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Lovely! Two dogs — no problem at all. Any must-have features?
CONNIE-054,search,Stage 5: Pets,"{""user_message"": ""A cat"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Lovely! We do have some pet-friendly properties for cats too. Any must-have features?
CONNIE-055,search,Stage 5: Pets,"{""user_message"": ""Yes, a large dog"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Brilliant! I'll make sure to filter for properties that are great for larger dogs. Any must-have features?
CONNIE-056,search,Stage 5: Pets,"{""user_message"": ""My dog is very old \u2014 needs ground floor"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Absolutely — I'll look for ground floor properties with easy access. Any other must-haves?
CONNIE-057,search,Stage 5: Pets,"{""user_message"": ""We'd prefer pet-free"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",Noted — I'll filter for pet-free properties. Any must-have features?
CONNIE-058,search,Stage 5: Pets,"{""user_message"": ""Not sure yet"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Are any pets joining you?""}]}",No worries — I can keep options open. Any must-have features for the property?
CONNIE-059,search,Stage 6: Requirements,"{""user_message"": ""A hot tub is a must"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Ooh lovely — a hot tub! I'll make sure to filter for that. Any other must-haves?
CONNIE-060,search,Stage 6: Requirements,"{""user_message"": ""Wood burner and parking"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Perfect — cosy evenings sorted! I'll add those to the search.
CONNIE-061,search,Stage 6: Requirements,"{""user_message"": ""We need good WiFi for remote working"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Of course — WiFi is a must. I'll filter for properties with reliable broadband.
CONNIE-062,search,Stage 6: Requirements,"{""user_message"": ""Enclosed garden for the kids"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Brilliant — safety first! I'll look for enclosed gardens specifically.
CONNIE-063,search,Stage 6: Requirements,"{""user_message"": ""Sea view would be dreamy"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Lovely — sea views are so special. I'll add that to the search!
CONNIE-064,search,Stage 6: Requirements,"{""user_message"": ""No requirements, whatever you find"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",No worries — I'll find something brilliant based on your other preferences!
CONNIE-065,search,Stage 6: Requirements,"{""user_message"": ""Log burner and a games room for the kids"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Perfect! Cosy evenings and the kids entertained — brilliant combo.
CONNIE-066,search,Stage 6: Requirements,"{""user_message"": ""We need wheelchair access"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",Of course — accessibility is important. I'll filter specifically for wheelchair-accessible properties.
CONNIE-067,search,Stage 6: Requirements,"{""user_message"": ""Private pool if possible"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}",A private pool — very glamorous! They are available. I'll look for you.
CONNIE-068,search,Stage 6: Requirements,"{""user_message"": ""Something with a great view"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Any must-have features for the property?""}]}","Stunning views coming up! Any preference — sea, hills, or valleys?"
CONNIE-069,search,Stage 7: Property Matching,"{""user_message"": ""What options do you have?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",I've found some great options based on your search. Let me share a few highlights — shall I start with the most popular?
CONNIE-070,search,Stage 7: Property Matching,"{""user_message"": ""Can you show me something with a sea view in Cornwall?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Brilliant — sea views in Cornwall. I have a few stunning options. Want me to share the top picks?
CONNIE-071,search,Stage 7: Property Matching,"{""user_message"": ""Find me the best value option"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Of course! I'll look for the best value for your dates and group size. Give me a moment.
CONNIE-072,search,Stage 7: Property Matching,"{""user_message"": ""Is there anything available last minute?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Let me check availability for your dates — last-minute bookings can sometimes offer great value too!
CONNIE-073,search,Stage 7: Property Matching,"{""user_message"": ""Can you find something that sleeps 8?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Of course! A property for 8 — let me search for the right options.
CONNIE-074,search,Stage 7: Property Matching,"{""user_message"": ""What's the most luxurious option?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Ooh — going all out! Let me find the most luxurious options for you.
CONNIE-075,search,Stage 7: Property Matching,"{""user_message"": ""Something cosy and remote"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}","Lovely — off the beaten track! I'll look for secluded, cosy properties."
CONNIE-076,search,Stage 7: Property Matching,"{""user_message"": ""We want something with good reviews"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Of course — highly rated properties only. Let me filter for top-reviewed options.
CONNIE-077,search,Stage 7: Property Matching,"{""user_message"": ""Show me cottages near the beach"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Beachside cottages — brilliant! Let me search for properties within walking distance.
CONNIE-078,search,Stage 7: Property Matching,"{""user_message"": ""Any new properties on the site?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""I have your preferences \u2014 let me find some options for you.""}]}",Great question — we do get new properties added regularly. Let me check for you.
CONNIE-079,property_question,Stage 8: Property Questions,"{""user_message"": ""Is the hot tub private?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","Yes — the hot tub at this property is private to your group, so you'll have it all to yourselves!"
CONNIE-080,property_question,Stage 8: Property Questions,"{""user_message"": ""How far is it from the beach?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",This property is approximately a 5-minute walk from the beach — very convenient!
CONNIE-081,property_question,Stage 8: Property Questions,"{""user_message"": ""Is there parking?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",Yes — the property has private parking for 2 cars.
CONNIE-082,property_question,Stage 8: Property Questions,"{""user_message"": ""Is it suitable for a wheelchair user?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",Let me check the accessibility details for you — this is important to get right.
CONNIE-083,property_question,Stage 8: Property Questions,"{""user_message"": ""How many bathrooms does it have?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",This property has 2 bathrooms — one en-suite and one family bathroom.
CONNIE-084,property_question,Stage 8: Property Questions,"{""user_message"": ""Is there a travel cot available?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",Travel cots can often be arranged — let me check whether this property provides one or whether you'd need to bring your own.
CONNIE-085,property_question,Stage 8: Property Questions,"{""user_message"": ""Does it have a washing machine?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","Yes — this property has a washing machine, which is great for longer stays!"
CONNIE-086,property_question,Stage 8: Property Questions,"{""user_message"": ""What's the nearest pub?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",There's a well-reviewed pub just a short walk away — let me get you the details.
CONNIE-087,property_question,Stage 8: Property Questions,"{""user_message"": ""Can we have an early check-in?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","Early check-in is sometimes possible — I'd recommend contacting the owner directly to arrange, as it depends on availability."
CONNIE-088,property_question,Stage 8: Property Questions,"{""user_message"": ""Is the garden fully enclosed?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","Yes — the garden at this property is fully enclosed, which is perfect for dogs and young children."
CONNIE-089,property_question,Stage 8: Property Questions,"{""user_message"": ""How far is it from the nearest town?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","This property is about 3 miles from the nearest town, so a car is handy but not essential for short walks."
CONNIE-090,property_question,Stage 8: Property Questions,"{""user_message"": ""Does it have a dishwasher?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",Yes — this property is fully equipped with a dishwasher.
CONNIE-091,property_question,Stage 8: Property Questions,"{""user_message"": ""What's the WiFi like?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",This property has broadband WiFi included — good for streaming and working remotely.
CONNIE-092,property_question,Stage 8: Property Questions,"{""user_message"": ""Is there a BBQ?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}","Yes — there's an outdoor BBQ at this property, perfect for summer evenings!"
CONNIE-093,property_question,Stage 8: Property Questions,"{""user_message"": ""Are bedrooms upstairs or downstairs?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think you'll love \u2014 any questions?""}]}",This property has bedrooms on both floors — there is one ground floor bedroom which is great for guests with mobility needs.
CONNIE-094,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I want to cancel my booking"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",I'm sorry to hear that! Cancellations need to be handled by our customer support team. You can reach them at sykes.co.uk/contact — they'll be able to help quickly.
CONNIE-095,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I've been overcharged"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",I'm sorry to hear that — let me point you to the right team. Please contact our support team at sykes.co.uk/contact with your booking reference and they'll sort it out.
CONNIE-096,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""My booking confirmation hasn't arrived"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}","That's frustrating — it may be in your spam folder. If it's not there, please contact our support team at sykes.co.uk/contact and they'll resend it."
CONNIE-097,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""The property wasn't as described"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",I'm really sorry to hear that. Our customer support team handles these complaints and will want to help — please contact them at sykes.co.uk/contact with your booking reference.
CONNIE-098,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I need to change my dates"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Date changes depend on availability and are handled by our support team. Please contact them at sykes.co.uk/contact and quote your booking reference.
CONNIE-099,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""Can I get a refund?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Refunds are managed by our customer support team. Please get in touch at sykes.co.uk/contact with your booking details and they'll be able to advise.
CONNIE-100,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I left something at the property"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Oh no! Please contact our support team at sykes.co.uk/contact — they can liaise with the property owner to help retrieve your belongings.
CONNIE-101,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""There's a problem with the property we're staying in"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}","I'm sorry to hear that — for urgent issues during your stay, please contact our support team straight away at sykes.co.uk/contact or call the number in your booking confirmation."
CONNIE-102,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I want to make a complaint"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",I'm sorry you've had a poor experience. Our customer support team will want to hear from you — please contact them at sykes.co.uk/contact.
CONNIE-103,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""Can I extend my stay?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Extensions are subject to availability and managed by our support team. Please contact them at sykes.co.uk/contact and they'll check for you.
CONNIE-104,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I think I was charged twice"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",That sounds like it needs urgent attention — please contact our support team at sykes.co.uk/contact with your payment details and booking reference.
CONNIE-105,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""How do I leave a review?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}","You can leave a review through the link in your post-stay email from Sykes, or via sykes.co.uk. Your feedback really helps other guests!"
CONNIE-106,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I need the owner's phone number"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}","For data protection reasons I'm not able to share owner contact details directly, but our support team at sykes.co.uk/contact can pass messages on."
CONNIE-107,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""What's your complaints procedure?"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Our customer support team handles all formal complaints — you can reach them at sykes.co.uk/contact. They aim to respond within 2 working days.
CONNIE-108,customer_support_handoff,Customer Support Handoff,"{""user_message"": ""I need an invoice for my stay"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""How can I help you today?""}]}",Invoices and receipts are handled by our support team — please contact them at sykes.co.uk/contact with your booking reference.
CONNIE-109,objection_handling,Objection Handling,"{""user_message"": ""It's too expensive"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}","I completely understand — budget matters. Shall I look for similar properties at a lower price point, or check if there are more flexible dates that might be cheaper?"
CONNIE-110,objection_handling,Objection Handling,"{""user_message"": ""We saw this cheaper elsewhere"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",It's always worth comparing! Our prices include full support and booking protection. Would you like me to check if there are any current offers available?
CONNIE-111,objection_handling,Objection Handling,"{""user_message"": ""The reviews aren't great"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",That's fair — reviews are really important. Shall I find an alternative with stronger ratings for your dates?
CONNIE-112,objection_handling,Objection Handling,"{""user_message"": ""It doesn't have a hot tub"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",No problem — let me find a similar property with a hot tub for your dates.
CONNIE-113,objection_handling,Objection Handling,"{""user_message"": ""It's too far from the beach"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",Of course — let me filter for something closer to the coast.
CONNIE-114,objection_handling,Objection Handling,"{""user_message"": ""The photos don't look as nice as I hoped"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",I understand — first impressions matter. Let me find something with more appealing photos and similar features.
CONNIE-115,objection_handling,Objection Handling,"{""user_message"": ""There are bad reviews about cleanliness"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",That's really important — let me look for a property with consistently strong cleanliness ratings.
CONNIE-116,objection_handling,Objection Handling,"{""user_message"": ""It looks too small"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",Fair point! Let me find something more spacious for your group size.
CONNIE-117,objection_handling,Objection Handling,"{""user_message"": ""I don't want to pay a cleaning fee"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",Cleaning fees are standard across the industry but vary by property. Let me look for options with lower or no cleaning fees.
CONNIE-118,objection_handling,Objection Handling,"{""user_message"": ""We'd prefer something more modern"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}",Of course — let me find a more contemporary property for you.
CONNIE-119,objection_handling,Objection Handling,"{""user_message"": ""The cancellation policy seems harsh"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""Here's a property I think could work brilliantly for you.""}]}","Our standard cancellation policy is there to protect both guests and owners. Shall I explain the options, or find properties with more flexible terms?"
